TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-14.450244856761572,-14.450244856761572,-14.450244856761572,-14.450244856761572,-14.450244856761572,-14.450244856761572,-10.285642753852425,-12.683015156467452,-11.966333644759768,-10.863570101284012,-20.0980160550923,-29.64753368837966
-6.710939361369484,-6.710939361369484,-6.710939361369484,-6.710939361369484,-9.029165425406237,-9.510153848842759,-1.6086943210583882,-15.183059124633465,-8.912519252357956,-15.345171403291697,-11.817859123506928,-23.07139284415683
-15.152112966228124,-15.152112966228124,-15.152112966228124,-15.152112966228124,-19.877794002434026,-17.607476559250106,-16.008932859137705,-10.387488292976073,-11.007703806080718,-10.375812180479793,-13.306353444158328,-19.91452349677524
-18.545465447413797,-18.545465447413797,-13.159949254036011,-28.75682797470869,-13.159949254036011,-33.15620017843872,-13.478676111867262,-10.060087656176126,-13.991474278950399,-7.496723478419502,-16.311546215541096,-26.773239018487374
-13.571086596280544,-13.571086596280544,-13.571086596280544,-13.571086596280544,-12.666271569546396,-26.882381553333992,-10.390369249511615,-13.948372506491049,-15.529735160985974,-17.10361226638289,-28.996053484096358,-13.567398113937326
-8.023435907092813,-8.023435907092813,-8.023435907092813,-8.023435907092813,-10.56634741821627,-16.133474656495295,-12.016303729738365,-17.474171023174346,-7.66254136863823,-5.93164713276135,-19.916508658318527,-17.319918749445446
-15.166264676306032,-27.10884390454746,-14.613799079408196,-27.10884390454746,-14.613799079408196,-20.976745445186044,-7.562756132985053,-3.188828875510211,-10.998868538599428,-20.907322357766155,-12.70404992309154,-25.74144010456805
-9.338962196183152,-9.338962196183152,-9.338962196183152,-9.338962196183152,-9.338962196183152,-9.5586698739371,-14.821723122912323,-17.11150689032986,-17.74837855186794,-11.444659375788122,-17.61772431737154,-25.976165658901678
-7.018970049794435,-28.633238089939,-28.633238089939,-28.633238089939,-27.568774650829443,-20.697733890486724,-12.973767333407245,-11.764474854006252,-17.81412593221283,-19.996532155643894,-31.436563351421253,-17.51445353193992
-20.554910857874837,-20.554910857874837,-20.554910857874837,-20.554910857874837,-19.05819763994822,-32.3019464679616,2.2542437978131775,-11.172621019526748,-7.983053262830021,-24.97956128528142,-21.654169441435165,-13.008563557160597
-7.312054234409798,-7.312054234409798,-7.2285778642759615,-7.312054234409798,-7.2285778642759615,-11.900990917056323,-3.4605165703637812,-8.13239959963065,-10.727616741761178,-14.339156378237092,-10.251889871232995,-13.264030471295225
-14.389796615469386,-14.389796615469386,-13.611154634178515,-14.389796615469386,-13.611154634178515,-13.611154634178515,-10.665168519467903,-13.562196203910608,-15.24751299886564,-11.632160111793436,-9.05423423497568,-21.135183717370722
-14.569541603559127,-14.569541603559127,-14.569541603559127,-14.569541603559127,-14.569541603559127,-17.991771097014063,-7.104592454309922,-14.432171747843928,-12.341747175660897,-18.05905341443513,-12.205130752053332,-18.59724282579971
-11.19785647647857,-11.19785647647857,-11.19785647647857,-11.19785647647857,-26.0018208534447,-20.18983277419069,-3.2289079740929916,-12.491376645666637,-14.446290410313406,-6.130430243747216,-14.99531698580782,-12.460167048221628
-14.330081004247745,-14.553350043308235,-14.553350043308235,-14.553350043308235,-14.626607171852049,-15.138132885925755,-2.4855322594396894,-2.758335613175516,-10.38162655243295,-5.355525695601024,-17.82992164339249,-18.167021652684234
-22.338586996339593,-16.5289002509073,-16.5289002509073,-22.338586996339593,-16.5289002509073,-16.5289002509073,-15.935322104137086,-12.915131045611432,-21.02396103725432,-8.30310254337093,-7.292133859072374,-21.619782568139286
-17.966141111640745,-17.966141111640745,-17.966141111640745,-17.966141111640745,-16.234614166737256,-21.878695549643407,-34.10640222708905,-17.83780059632067,-10.885719804624916,-13.447645019550533,-11.366063718092267,-21.96454728428705
-10.616314467538018,-11.006307191778005,-11.006307191778005,-11.006307191778005,-11.006307191778005,-15.568431563118432,-4.143685994809461,-7.840716994153345,-11.387947406839501,-34.50950780935122,-11.248969197349306,-18.857020232611696
-18.15760177354776,-18.15760177354776,-14.358317180973337,-18.15760177354776,-14.358317180973337,-20.222687738039117,-2.6012706139561717,-9.158529343433177,-11.280712402352261,-12.03239095755124,-20.966411037603834,-22.413589050771634
-10.740166265674212,-10.740166265674212,-11.934578175419988,-11.934578175419988,-17.847841991836454,-19.223392482381836,-9.465592879935839,-3.7869078649454213,-24.576540195828194,-13.379151466583561,-13.451975809202262,-22.709164574261187
-13.001327789758989,-13.001327789758989,-12.53004510460685,-13.001327789758989,-12.53004510460685,-19.82064761904728,-11.228775884523355,-12.805650852044458,-17.318289131814808,-14.840561459130736,-22.680044588759614,-23.02523349978088
-9.88479882021116,-9.88479882021116,-9.88479882021116,-9.88479882021116,-12.723720761843209,-13.39498998345283,-4.6458519050686204,-3.0776757788006477,-11.681423282004499,-14.107431287295356,-16.57674636071101,-25.647922211220013
-8.59843820034174,-8.33180516812296,-8.33180516812296,-10.228239993660592,-20.13109611901333,-30.2098361039484,-9.925333901072245,-13.735665178893502,-20.171111423638482,-32.69814245520833,-14.341372436350419,-12.04832531911909
-10.845691132834862,-8.633953078864558,-18.733710619914373,-12.862597668734066,-18.733710619914373,-18.733710619914373,-12.27873477870364,-17.065066062503284,-16.6745563046207,-9.432522657500531,-15.541124306494552,-22.578074840153505
-19.28389222821845,-19.28389222821845,-19.28389222821845,-19.28389222821845,-26.977549964992612,-21.24036091039747,-13.128403826919293,-8.636038610757844,-12.52330233125396,-17.94095690503807,-14.255259135775633,-23.660844216370748
-8.706990733763863,-8.706990733763863,-10.948595936391373,-10.948595936391373,-16.043851463378378,-17.79262032984006,-8.636155751582276,-13.091764860926743,-5.465722540261243,-7.83868291594791,-18.001296864407358,-19.42580343758028
-17.543503870013048,-17.543503870013048,-17.086091658156445,-17.543503870013048,-17.086091658156445,-15.400819828044225,-13.292306447289764,-4.939550774613809,-5.840768298210472,-12.300039534746276,-11.872042710115256,-16.348494872417664
-14.771969884730549,-14.114439961449744,-14.114439961449744,-14.114439961449744,-14.114439961449744,-13.35927322049174,-27.388769061604783,-11.427020278506497,-19.04398542840411,-14.875996208205615,-26.60504803770379,-17.985190695057792
-12.599700358508887,-12.599700358508887,-12.599700358508887,-12.599700358508887,-12.599700358508887,-21.018427904426318,-7.971788826820394,-16.52913489211379,-18.72588480118577,-8.43761846430763,-20.003430844192316,-19.039412515215176
-7.175666716082166,-20.05620501248427,-20.05620501248427,-20.05620501248427,-20.05620501248427,-21.491688390876348,-3.7475920438620482,-22.36005964341779,-10.275015992481894,-20.81470580390573,-14.239999008440856,-22.356865601513675
-24.798123522546422,-24.798123522546422,-24.798123522546422,-24.798123522546422,-24.798123522546422,-20.23421026982522,-13.088462228509867,-16.356124540543313,-15.318265232818362,-5.668384704544538,-24.255375726470838,-21.83208093802568
-11.765053467833646,-11.765053467833646,-11.765053467833646,-11.765053467833646,-14.575905176432924,-14.575905176432924,-14.435655261976256,-6.164060686774234,-10.303168153187961,-10.361447998258466,-21.356904740366947,-31.608341826371134
-11.578428927742594,-9.207149916213352,-18.20231169616773,-12.88685038892083,-18.20231169616773,-18.20231169616773,-8.946288832379668,-14.67769843708256,-20.155392047337067,-17.6802623243309,-12.711358019332618,-15.59645677080189
-14.505692737970609,-23.95557314208277,-23.95557314208277,-23.95557314208277,-17.747263339881584,-24.72129628844439,-19.911599817594585,-23.04841963655067,-23.35094622432917,-8.539354727261863,-22.960417430008917,-30.285535472509416
