TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-18.703924183237422,-18.703924183237422,-18.703924183237422,-18.703924183237422,-18.703924183237422,-27.390602409775905,-19.824608112599307,-inf,-inf,-19.635814105326087,-inf,-19.635814105326087
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-21.51140436941885,-21.51140436941885,-21.51140436941885,-21.51140436941885,-21.51140436941885,-21.51140436941885,-25.74558286677278,-21.42539498096976,-17.352445781208417,-20.637603881480743,-29.90315225392418,-21.826104584883062
-29.753345472460428,-29.753345472460428,-29.753345472460428,-29.753345472460428,-29.753345472460428,-29.753345472460428,-15.874203908144906,-25.96017407398707,-inf,-29.753345472460428,-inf,-29.753345472460428
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-20.351508115276932,-20.351508115276932,-20.351508115276932,-20.351508115276932,-20.351508115276932,-inf,-inf,-inf,-inf,-20.351508115276932,-20.351508115276932,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-40.06774722022882,-40.06774722022882,-40.06774722022882,-40.06774722022882,-40.06774722022882,-40.06774722022882,-25.177731927878902,-17.71244309448925,-28.605105199436295,-17.71244309448925,-40.06774722022882,-28.605105199436295
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-27.070674226928496,-27.070674226928496,-27.070674226928496,-27.070674226928496,-27.070674226928496,-27.070674226928496,-27.070674226928496,-27.070674226928496,-inf,-21.345557273771153,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-41.43309453727122,-41.43309453727122,-41.43309453727122,-41.43309453727122,-41.43309453727122,-41.43309453727122,-41.43309453727122,-29.70018509941253,-29.70018509941253,-27.22740737891317,-27.22740737891317,-27.22740737891317
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-23.48109580856933,-23.48109580856933,-23.48109580856933,-23.48109580856933,-23.48109580856933,-inf,-23.48109580856933,-inf,-inf,-inf,-inf,-23.48109580856933
-9.729089961248594,-21.597429805509964,-21.597429805509964,-21.597429805509964,-21.597429805509964,-inf,-inf,-inf,-inf,-21.597429805509964,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-29.532587885258774,-29.532587885258774,-29.532587885258774,-29.532587885258774,-29.532587885258774,-29.532587885258774,-29.532587885258774,-inf,-17.61457954031526,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-36.6069244884414,-36.6069244884414,-36.6069244884414,-36.6069244884414,-36.6069244884414,-36.6069244884414,-17.890443340457438,-28.50100031939091,-28.50100031939091,-22.57250295803408,-22.57250295803408,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-22.474970663044424,-22.474970663044424,-22.474970663044424,-22.474970663044424,-22.474970663044424,-36.10453590880626,-10.522791834412699,-15.968439058707563,-26.559580233286578,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-44.77485607666481,-44.77485607666481,-44.77485607666481,-44.77485607666481,-44.77485607666481,-44.77485607666481,-24.398974067949887,-29.582207448433692,-29.42421367979835,-28.021706622865,-28.923111528980236,-31.396059887472738
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-19.607779465018265,-19.607779465018265,-19.607779465018265,-19.607779465018265,-inf,-inf,-19.607779465018265,-inf,-19.607779465018265,-inf,-inf,-inf
-19.464301495300354,-19.464301495300354,-19.464301495300354,-19.464301495300354,-29.33601943545302,-29.33601943545302,-10.393202399922997,-15.711021125111063,-21.43539324353643,-21.43539324353643,-29.33601943545302,-29.33601943545302
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-20.283080483031746,-20.283080483031746,-20.283080483031746,-20.283080483031746,-20.283080483031746,-inf,-18.78976958097596,-inf,-inf,-18.78976958097596,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-25.953710527392197,-25.953710527392197,-25.953710527392197,-25.953710527392197,-25.953710527392197,-25.953710527392197,-inf,-inf,-25.50485439491245,-inf,-25.50485439491245,-25.953710527392197
-21.326476492961195,-21.326476492961195,-21.326476492961195,-21.326476492961195,-21.326476492961195,-inf,-13.61974270027557,-21.326476492961195,-21.326476492961195,-inf,-inf,-inf
-37.01952754118989,-37.01952754118989,-37.01952754118989,-37.01952754118989,-37.01952754118989,-37.01952754118989,-21.769513942664396,-21.304350345027323,-21.769513942664396,-21.769513942664396,-inf,-37.01952754118989
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-14.754270538676344,-14.754270538676344,-41.49248469403841,-41.49248469403841,-41.49248469403841,-41.49248469403841,-23.18493239938206,-33.192030726449666,-23.18493239938206,-23.18493239938206,-33.192030726449666,-inf
-50.78247789046565,-50.78247789046565,-50.78247789046565,-50.78247789046565,-50.78247789046565,-50.78247789046565,-26.942924150771894,-24.95532310612642,-18.574774993867834,-26.942924150771894,-26.942924150771894,-26.942924150771894
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-24.43397908593881,-24.43397908593881,-24.43397908593881,-24.43397908593881,-24.43397908593881,-24.43397908593881,-26.416513783197498,-16.213400770246707,-23.723693750179272,-inf,-23.723693750179272,-23.723693750179272
-18.30832486155369,-18.30832486155369,-18.30832486155369,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-13.221738561185447,-13.221738561185447,-26.359031056211922,-13.221738561185447,-26.359031056211922,-26.359031056211922,-14.593247400936187,-14.593247400936187,-inf,-inf,-inf,-26.359031056211922
-24.369949686170536,-24.369949686170536,-24.369949686170536,-24.369949686170536,-24.369949686170536,-24.369949686170536,-22.19660402039638,-inf,-inf,-inf,-inf,-24.369949686170536
